пример видео,—сылка на главное фото,—сылки на дополнительные фото
,https://cdn1.ozone.ru/s3/multimedia-7/6376809127.jpg,"https://cdn1.ozone.ru/s3/multimedia-b/6377209271.jpg
https://cdn1.ozone.ru/s3/multimedia-g/6376557640.jpg
https://cdn1.ozone.ru/s3/multimedia-l/6376028949.jpg
https://cdn1.ozone.ru/s3/multimedia-h/6376028945.jpg
https://cdn1.ozone.ru/s3/multimedia-e/6097290554.jpg"
,https://cdn1.ozone.ru/s3/multimedia-q/6377209250.jpg,"https://cdn1.ozone.ru/s3/multimedia-q/6376097498.jpg
https://cdn1.ozone.ru/s3/multimedia-h/6376097489.jpg
https://cdn1.ozone.ru/s3/multimedia-l/6376028949.jpg
https://cdn1.ozone.ru/s3/multimedia-h/6376028945.jpg
https://cdn1.ozone.ru/s3/multimedia-e/6097290554.jpg"
,https://cdn1.ozone.ru/s3/multimedia-a/6376570630.jpg,"https://cdn1.ozone.ru/s3/multimedia-t/6376570613.jpg
https://cdn1.ozone.ru/s3/multimedia-p/6376570681.jpg
https://cdn1.ozone.ru/s3/multimedia-e/6097290554.jpg
https://cdn1.ozone.ru/s3/multimedia-l/6376028949.jpg
https://cdn1.ozone.ru/s3/multimedia-h/6376028945.jpg"
,https://cdn1.ozone.ru/s3/multimedia-3/6377209263.jpg,"https://cdn1.ozone.ru/s3/multimedia-l/6376097565.jpg
https://cdn1.ozone.ru/s3/multimedia-2/6376097546.jpg
https://cdn1.ozone.ru/s3/multimedia-l/6376028949.jpg
https://cdn1.ozone.ru/s3/multimedia-h/6376028945.jpg
https://cdn1.ozone.ru/s3/multimedia-e/6097290554.jpg"
,https://cdn1.ozone.ru/s3/multimedia-7/6376570519.jpg,"https://cdn1.ozone.ru/s3/multimedia-v/6376570471.jpg
https://cdn1.ozone.ru/s3/multimedia-e/6376570490.jpg
https://cdn1.ozone.ru/s3/multimedia-l/6376028949.jpg
https://cdn1.ozone.ru/s3/multimedia-h/6376028945.jpg
https://cdn1.ozone.ru/s3/multimedia-e/6097290554.jpg"
,https://cdn1.ozone.ru/s3/multimedia-b/6376570487.jpg,"https://cdn1.ozone.ru/s3/multimedia-f/6376570635.jpg
https://cdn1.ozone.ru/s3/multimedia-f/6376570491.jpg
https://cdn1.ozone.ru/s3/multimedia-e/6097290554.jpg
https://cdn1.ozone.ru/s3/multimedia-l/6376028949.jpg
https://cdn1.ozone.ru/s3/multimedia-h/6376028945.jpg"
,https://cdn1.ozone.ru/s3/multimedia-3/6595875219.jpg,"https://cdn1.ozone.ru/s3/multimedia-p/6594809029.jpg
https://cdn1.ozone.ru/s3/multimedia-f/6594547983.jpg
https://cdn1.ozone.ru/s3/multimedia-l/6376028949.jpg
https://cdn1.ozone.ru/s3/multimedia-h/6376028945.jpg
https://cdn1.ozone.ru/s3/multimedia-e/6097290554.jpg"
,https://cdn1.ozone.ru/s3/multimedia-5/6376570481.jpg,"https://cdn1.ozone.ru/s3/multimedia-n/6376570679.jpg
https://cdn1.ozone.ru/s3/multimedia-z/6376570547.jpg
https://cdn1.ozone.ru/s3/multimedia-l/6376028949.jpg
https://cdn1.ozone.ru/s3/multimedia-h/6376028945.jpg
https://cdn1.ozone.ru/s3/multimedia-e/6097290554.jpg"
,https://cdn1.ozone.ru/s3/multimedia-q/6377209250.jpg,"https://cdn1.ozone.ru/s3/multimedia-t/6377209253.jpg
https://cdn1.ozone.ru/s3/multimedia-n/6376557647.jpg
https://cdn1.ozone.ru/s3/multimedia-l/6376028949.jpg
https://cdn1.ozone.ru/s3/multimedia-h/6376028945.jpg
https://cdn1.ozone.ru/s3/multimedia-e/6097290554.jpg"
,https://cdn1.ozone.ru/s3/multimedia-7/6376570591.jpg,"https://cdn1.ozone.ru/s3/multimedia-q/6376570610.jpg
https://cdn1.ozone.ru/s3/multimedia-h/6376570529.jpg
https://cdn1.ozone.ru/s3/multimedia-l/6376028949.jpg
https://cdn1.ozone.ru/s3/multimedia-h/6376028945.jpg
https://cdn1.ozone.ru/s3/multimedia-e/6097290554.jpg"
,https://cdn1.ozone.ru/s3/multimedia-g/6377209312.jpg,"https://cdn1.ozone.ru/s3/multimedia-9/6377209305.jpg
https://cdn1.ozone.ru/s3/multimedia-n/6376557611.jpg
https://cdn1.ozone.ru/s3/multimedia-l/6376028949.jpg
https://cdn1.ozone.ru/s3/multimedia-h/6376028945.jpg
https://cdn1.ozone.ru/s3/multimedia-e/6097290554.jpg"
,https://cdn1.ozone.ru/s3/multimedia-k/6376570676.jpg,"https://cdn1.ozone.ru/s3/multimedia-q/6376570682.jpg
https://cdn1.ozone.ru/s3/multimedia-s/6376570576.jpg
https://cdn1.ozone.ru/s3/multimedia-l/6376028949.jpg
https://cdn1.ozone.ru/s3/multimedia-h/6376028945.jpg
https://cdn1.ozone.ru/s3/multimedia-e/6097290554.jpg"
,https://cdn1.ozone.ru/s3/multimedia-e/6376809134.jpg,"https://cdn1.ozone.ru/s3/multimedia-u/6377209290.jpg
https://cdn1.ozone.ru/s3/multimedia-0/6376557624.jpg
https://cdn1.ozone.ru/s3/multimedia-l/6376028949.jpg
https://cdn1.ozone.ru/s3/multimedia-h/6376028945.jpg
https://cdn1.ozone.ru/s3/multimedia-e/6097290554.jpg"
,https://cdn1.ozone.ru/s3/multimedia-e/6377209310.jpg,"https://cdn1.ozone.ru/s3/multimedia-x/6377209293.jpg
https://cdn1.ozone.ru/s3/multimedia-q/6376097570.jpg
https://cdn1.ozone.ru/s3/multimedia-l/6376028949.jpg
https://cdn1.ozone.ru/s3/multimedia-h/6376028945.jpg
https://cdn1.ozone.ru/s3/multimedia-e/6097290554.jpg"
